"recno","Observer","Location","Desg","Month","Day","Year","m1","diam","dc","pa","scope","comments","jd","url"
"2","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","25.396","2002","3.7","8.2 ?","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","From Petit Jean Mountain, strong moonlight.","2452389.8960",""
"3","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","15.444","2002","3.9","5.5","2/9","319","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail 4 deg., with sharp spike from coma center; no nucleus visible nor with CCD imaging; much light pollution and haze, morning twilight.","2452379.9440",""
"4","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","06.444","2002","3.5","2.2","2/9","336","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Long nice tail for 7.7 deg.  Absolutely NO nucleus seen in very uniformly bright coma; central tail spike from head at 335 deg.","2452370.9440",""
"5","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","4","06.444","2002","3.19","7","2/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail strongly curved, 4.5 deg. length; moderate light pollution, twilight.","2452370.9440",""
"6","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","3","11.046","2002","4.01","","","","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Data not recorded other than CCD magnitude.  Images on file.","2452344.5460",""
"9","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","12.323","2002","14.59","7""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Appears round with no detail; irregular perimeter, quite diffuse; poor conditions with high clouds.","2452437.8230",""
"10","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","08.344","2002","14.59","7""","4/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","very faint, stellar LM = 16.8, poor conditions.","2452433.8440",""
"11","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","06.272","2002","14.51","10""","3/9","183","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail distinct tonight; 22"" length, fan shaped.  Fine sky conditions.","2452431.7720",""
"12","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","04.330","2002","14.57","10""","3/9","188","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail 17"" length, nice extension, wide; poor conditions.","2452429.8300",""
"13","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","02.292","2002","14.93","11""","4/9","185","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Some light pollution; tail is 50"" length,nice image.","2452427.7920",""
"14","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","6","01.343","2002","14.65","8""","3/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short elongation (tail?), 8-10"" length, very clear sky with moon rising in E.","2452426.8430",""
"15","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","22.355","2002","13.84","22""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Strong moonlight; no tail noted.","2452416.8550",""
"16","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","21.342","2002","13.78","10""","2/9","235","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short stubby tail 20"" length, some high cirrus and quarter moon.","2452415.8420",""
"17","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","12.344","2002","13.66","4""","7/9","195","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 8"" long tail, stubby fan shaped.  Comet appears incredibly small tonight in spite of excellent skies.","2452406.8440",""
"18","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","5","07.312","2002","12.36","9""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","No tail noted in very deep clear skies; comet round without any detail nor nuclear condensation.","2452401.8120",""
"19","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","29.330","2002","13.05","4-5""","2/9","250","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","In strong moonlight; comet is next to 16th mag. star, making photometry subjective.  Elongated slightly in PA 250","2452393.8300",""
"20","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","23.346","2002","12.56","10""","8/9","270?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet elongated in E-W orientation, appearing VERY condensed tonight as if the nucleus has had an outburst; very clear, but gibbous moon.","2452387.8460",""
"21","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","25.296","2002","14.06","14""","6/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","","2452389.7960",""
"22","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","22.333","2002","13.87","3""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears nearly stellar with diffuse glow; very small; no tail nor elongation.","2452386.8330",""
"23","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","16.296","2002","14.14","8""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Heavy cirrus clouds affecting estimates; no tail.","2452380.7960",""
"24","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","19.338","2002","13.64","12""","8/9","262","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible fan-shaped tail or extension in PA 262, moderate light pollution.","2452383.8380",""
"25","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","11.146","2002","13.47","12""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Very dark skies, but no tail visible in image; very diffuse coma appearing to be surrounded by brighter ""ring"" or ""halo."" (?)","2452375.6460",""
"26","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","4","10.347","2002","13.46","31""","7/9","239","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 12-15"" tail noted in image, very dark and clear skies.","2452374.8470",""
"29","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","6","06.281","2002","15.02","8""","3/9","182","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Broad tail extension imaged; excellent skies.","2452431.7810",""
