"recno","Timestamp","Observer","Location","Desg","Date","m1","diam","dc","pa","scope","comments","url"
"2","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","2002/04/25","3.7","8.2 ?","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","From Petit Jean Mountain, strong moonlight.",""
"3","2002-04-15 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","2002/04/15","3.9","5.5","2/9","319","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail 4 deg., with sharp spike from coma center; no nucleus visible nor with CCD imaging; much light pollution and haze, morning twilight.",""
"4","2002-04-06 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","2002/04/06","3.5","2.2","2/9","336","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Long nice tail for 7.7 deg.  Absolutely NO nucleus seen in very uniformly bright coma; central tail spike from head at 335 deg.",""
"5","2002-04-06 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","2002/04/06","3.19","7","2/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Tail strongly curved, 4.5 deg. length; moderate light pollution, twilight.",""
"6","2002-03-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 C1 Ikeya Zhang","2002/03/11","4.01","","","","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures / MAGNITUDE estimate via 10","Data not recorded other than CCD magnitude.  Images on file.",""
"9","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/12","14.59","7""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Appears round with no detail; irregular perimeter, quite diffuse; poor conditions with high clouds.",""
"10","2002-06-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/08","14.59","7""","4/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","very faint, stellar LM = 16.8, poor conditions.",""
"11","2002-06-06 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/06","14.51","10""","3/9","183","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail distinct tonight; 22"" length, fan shaped.  Fine sky conditions.",""
"12","2002-06-04 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/04","14.57","10""","3/9","188","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail 17"" length, nice extension, wide; poor conditions.",""
"13","2002-06-02 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/02","14.93","11""","4/9","185","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Some light pollution; tail is 50"" length,nice image.",""
"14","2002-06-01 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/06/01","14.65","8""","3/9","190","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short elongation (tail?), 8-10"" length, very clear sky with moon rising in E.",""
"15","2002-05-22 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/05/22","13.84","22""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Strong moonlight; no tail noted.",""
"16","2002-05-21 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/05/21","13.78","10""","2/9","235","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short stubby tail 20"" length, some high cirrus and quarter moon.",""
"17","2002-05-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/05/12","13.66","4""","7/9","195","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 8"" long tail, stubby fan shaped.  Comet appears incredibly small tonight in spite of excellent skies.",""
"18","2002-05-07 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/05/07","12.36","9""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","No tail noted in very deep clear skies; comet round without any detail nor nuclear condensation.",""
"19","2002-04-29 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/29","13.05","4-5""","2/9","250","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","In strong moonlight; comet is next to 16th mag. star, making photometry subjective.  Elongated slightly in PA 250",""
"20","2002-04-23 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/23","12.56","10""","8/9","270?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet elongated in E-W orientation, appearing VERY condensed tonight as if the nucleus has had an outburst; very clear, but gibbous moon.",""
"21","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/25","14.06","14""","6/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","",""
"22","2002-04-22 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/22","13.87","3""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet appears nearly stellar with diffuse glow; very small; no tail nor elongation.",""
"23","2002-04-16 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/16","14.14","8""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Heavy cirrus clouds affecting estimates; no tail.",""
"24","2002-04-19 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/19","13.64","12""","8/9","262","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Possible fan-shaped tail or extension in PA 262, moderate light pollution.",""
"25","2002-04-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/11","13.47","12""","7/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Very dark skies, but no tail visible in image; very diffuse coma appearing to be surrounded by brighter ""ring"" or ""halo."" (?)",""
"26","2002-04-10 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 E2 Snyder-Murakami","2002/04/10","13.46","31""","7/9","239","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Short 12-15"" tail noted in image, very dark and clear skies.",""
"29","2002-06-06 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","2002/06/06","15.02","8""","3/9","182","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Broad tail extension imaged; excellent skies.",""
"30","2002-05-21 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","2002/05/21","13.34","20""","7/9","205","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet quite large appearing, diffuse and faint; quarter moon in opposite sky.",""
"31","2002-04-25 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","2002/04/25","12.78","52""","4/9","220","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Fan tail for 42"" length despite strong light from gibbous moon.",""
"32","2002-04-15 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 WM1 (LINEAR)","2002/04/15","12.68","17""","4/9","270-250","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Fan tail, coma very diffuse and without structure, difficult in haze and gray sky.",""
"33","2002-06-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/12","14.67","4""","2/9","180?","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Strong elongation suspecting in N-S direction, comet quite small, diffuse with no condensation.",""
"34","2002-06-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/08","14.67","10""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Target is totally round and very diffuse, not detail; conditions very poor.",""
"35","2002-06-06 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/06","14.91","15""","3/9","160","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Tail distinct, 22"" long, very faint but larger than on previous dates.",""
"36","2002-06-04 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/04","14.61","4""","3/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Becoming very small and difficult; round, no structure.",""
"37","2002-06-02 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/02","15.06","12""","2/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet uniformly round and quite faint, despite very dark skies; no tail.",""
"38","2002-06-01 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 H2 (LINEAR)","2002/06/01","15.12","18""","1/9","n/a","0.31m SCT with SBIG STV at f/3.75, 25 sec. exposures","Comet is uniformly round; no tail in very dark and clear sky.",""
